idempleado,nombre,apellido,dni,edad,correo,telefono,sueldo,fk_idsucursal
1,Ertha,MacKeeg,30246593,31,emackeeg0@woothemes.com,359-845-1619,191469,10
2,Shem,Currom,31329915,54,scurrom1@comcast.net,335-861-5570,164878,3
3,Tabbi,MacCaig,33661822,60,tmaccaig2@umich.edu,984-189-2085,167504,3
4,Monah,Prisk,31692329,44,mprisk3@usa.gov,534-271-2153,171104,49
5,Lurlene,Heibl,21551238,60,lheibl4@aol.com,870-141-9134,168958,10
6,Gus,Brydone,35790346,51,gbrydone5@cornell.edu,896-678-0810,175989,8
7,Rorke,Wells,23635803,58,rwells6@vimeo.com,345-774-3790,194086,7
8,Hagan,Thaller,29625527,39,hthaller7@deviantart.com,407-683-1003,154616,8
9,Bron,Bangham,30353307,41,bbangham8@behance.net,922-955-4700,197819,9
10,Roma,Belcham,26712769,44,rbelcham9@yellowbook.com,241-673-4635,158115,10
11,Heidi,Mutimer,33014385,25,hmutimera@dmoz.org,403-372-5144,154695,11
12,Drusy,Doohan,34974315,22,ddoohanb@nydailynews.com,114-845-7750,157960,12
13,Ashlan,Ashborne,28826364,36,aashbornec@archive.org,388-103-4160,197561,13
14,Noe,Devas,27811784,29,ndevasd@samsung.com,854-446-9528,172781,14
15,Gwyneth,Borley,26824322,32,gborleye@latimes.com,460-208-6436,189975,15
16,Elnora,Shoulder,24839444,22,eshoulderf@hud.gov,675-138-7019,167721,16
17,Oliviero,Shipman,28832178,38,oshipmang@technorati.com,551-932-7384,190279,17
18,Eleonora,Linning,22588375,54,elinningh@sitemeter.com,652-785-7622,154539,18
19,Emily,Harkness,33722960,51,eharknessi@scribd.com,194-285-0869,155486,19
20,Ignazio,Docksey,29865111,40,idockseyj@goo.gl,731-254-2675,160484,20
21,Yale,Hurnell,34212659,57,yhurnellk@marketwatch.com,708-586-0086,195304,21
22,Dov,Little,30140080,26,dlittlel@tripadvisor.com,901-381-4930,168850,22
23,Courtnay,Pothecary,27300010,60,cpothecarym@friendfeed.com,720-948-2532,155138,23
24,Torrin,Kettlestring,31895894,32,tkettlestringn@ed.gov,683-116-9610,156613,24
25,Jourdan,Armsden,39687622,46,jarmsdeno@un.org,554-989-2352,181666,25
26,Frannie,Cory,39400081,27,fcoryp@amazon.co.jp,955-503-4687,161103,26
27,Manya,Cammiemile,33253956,54,mcammiemileq@independent.co.uk,392-823-8977,185254,27
28,Bronny,Zukierman,36249104,43,bzukiermanr@sfgate.com,209-560-1139,173009,28
29,Junia,Alvaro,35222467,53,jalvaros@posterous.com,774-576-8569,168212,29
30,Samuel,Sydes,23011901,47,ssydest@utexas.edu,632-160-7064,154271,30
31,Hedy,Gout,34677507,25,hgoutu@dailymotion.com,377-445-4301,191598,31
32,Maxine,Martignon,32024621,54,mmartignonv@jigsy.com,449-369-5448,182428,32
33,Sukey,Hill,37555678,42,shillw@hexun.com,710-887-1815,165782,33
34,Calvin,Sawford,25441105,34,csawfordx@spiegel.de,492-982-6253,169571,34
35,Miles,Jirus,28798326,27,mjirusy@cbc.ca,592-367-3153,199660,35
36,Cherye,Kisar,33676952,52,ckisarz@is.gd,388-431-1088,172866,36
37,Gayle,Schiefersten,35575805,54,gschiefersten10@engadget.com,672-474-9497,154348,37
38,Danette,Cacacie,22508701,48,dcacacie11@army.mil,487-195-6905,199762,38
39,Marj,Abernethy,35880911,42,mabernethy12@dedecms.com,730-634-8842,186797,39
40,Nissa,Leipold,26780412,23,nleipold13@psu.edu,774-717-8997,161754,40
41,Ame,Novello,27606360,49,anovello14@sbwire.com,148-668-1863,187626,41
42,Emylee,Mountstephen,34683448,38,emountstephen15@angelfire.com,302-984-8390,152335,42
43,Amelina,Fysh,39298884,50,afysh16@booking.com,937-456-4165,181349,43
44,Heywood,McKim,27325844,49,hmckim17@about.com,103-821-2030,186999,44
45,Milka,Letteresse,26888996,59,mletteresse18@ycombinator.com,629-508-8152,161445,45
46,Regen,Tommasetti,32597935,18,rtommasetti19@is.gd,352-295-4218,178468,46
47,Zackariah,Heers,23788035,20,zheers1a@example.com,344-574-3092,180025,47
48,Ann,Jacke,20788529,34,ajacke1b@webnode.com,239-133-4552,152168,48
49,Tracey,Herculeson,32081127,19,therculeson1c@seesaa.net,519-424-9199,178364,49
50,Waldemar,Whittington,24709222,41,wwhittington1d@japanpost.jp,111-111-0399,150649,50
